primaryName,nconst
Divya Bharathi,nm9162124
Sarika,nm9989228
Salma,nm9610454
Farha,nm16104421
Jagit Singh,nm11542264
Alka,nm9115361
Khursheed,nm9007338
Ajeet,nm6231449
Madhu Chanda,nm1154858
Rani Malik,nm3651888
Sukhvinder,nm17190009
Shamji Ghanshamji,nm1159040
Kabir,nm8906880
Subir Sen,nm1160300
Zaheeda,nm1160755
Master Tito,nm1161126
Mithu Mukherjee,nm1161317
Brij Bhushan,nm1533565
Hemant Bhosle,nm1163389
Manohar Shetty,nm5020646
Dhani Ram,nm12669682
Tabassum,nm16210463
Ahmed Rahi,nm1167151
Shashikala,nm8501570
Kalyanji-Anandji,nm11694154
Anand-Milind,nm11695251
Amrit,nm9451222
Madhuri Purandare,nm1173052
Anant Kumar,nm8447230
Vishal Anand,nm8886610
Rajkamal,nm16524577
Asrani,nm13276354
Pardeep,nm3421818
Aziz Kashmiri,nm3255300
Ahmad Faraz,nm6471942
Faiz Ahmed Faiz,nm1184839
Nayyara Noor,nm1185847
Iqbal Qureshi,nm13514455
Mehdi Hassan,nm5899506
Sharad Kapoor,nm11917261
Ranjana,nm9103361
Sohan,nm1204265
Polson,nm1207444
Munawar Sultana,nm7041959
Akhtar,nm8295410
Paresh Bannerjee,nm1209238
Akhtari Faizabadi,nm1209683
Javed Anwar,nm1594020
Vipin Mehra,nm12126949
Madhuchanda,nm12129772
Sukhvinder Singh,nm16662346
Madhup Sharma,nm13591288
Yaqub,nm8530640
Shubha Joshi,nm1216838
Traditional,nm17180951
Kulbhushan,nm5348982
Nilo,nm5769529
Jayanti,nm7832771
Talat Aziz,nm1961381
Rita Rani Kaul,nm1224149
Rohan Kapoor,nm5866837
Annu Malik,nm12311289
Pardeep Kumar,nm7984268
Zubaida,nm8832690
Kuldeep Kaur,nm17184136
Nigaar,nm12392507
Mastan,nm3540745
Shankar Dasgupta,nm4691094
Meena Shorey,nm1242253
Sujata Trivedi,nm1242414
Talat,nm8335128
Jog,nm3212376
Yesudas,nm6046829
Krishnarao Chonkar,nm12444383
Sadhna,nm5843180
Mayuri,nm9379547
Radharani,nm5647704
Mohammad Salamat,nm1249033
Mahtab,nm8624082
Suhel,nm12538958
Hemant,nm9764546
Harindranath,nm12585435
Sanjiv,nm2778699
Ira Nagrath,nm1261158
Sharma Bandhu,nm1263103
Gyaani,nm12632867
Ramanand Sharma,nm1264155
Rajendra Mehta,nm1264875
Amzad Khan,nm16664397
Achla,nm12683441
Amitabh,nm3255561
Sailesh,nm9058985
Prem Nath,nm5961190
Snehal Bhatkar,nm1278562
Shatrughan,nm8755963
Vicky Mehta,nm14530458
Kavita Paudwal,nm1288209
Daan Singh,nm1288570
Mehdi Hasan,nm3925728
Tiwari,nm3129054
Shashi Puri,nm5106025
Usha Kiron,nm12981081
Bhimsen Joshi,nm1300172
Sadhana,nm8622373
Ghantasala,nm15558543
Uma Devi,nm9867667
Nishi,nm9949815
Sunil Shetty,nm15568596
Gumnaam,nm13153724
Chorus,nm14210137
Hemlata,nm8357867
Kamaljit,nm14556184
Raajan,nm13255464
Vijay Dutt,nm1333773
Waheed Qureshi,nm1335413
Nadeem-Shravan,nm13358864
Prithviraj,nm9844786
Arzoo,nm7608635
Murli Manohar Swarup,nm13409365
Khawar Zaman,nm13415691
Hasrat Mohani,nm1343033
Tapan Kumar,nm13433334
Surinder Kaur,nm9096715
Aishwarya Rai,nm13721060
Sahira,nm7998105
Udbhav,nm16010897
Kumud Tripathi,nm1361028
Puja Bhatt,nm6592584
Jamuna Barua,nm13644942
Kananbala,nm13649338
Shah Rukh,nm16265147
Ram Laxman,nm13687690
Abdul Latif,nm8780685
Parul Ghosh,nm1370766
Rajnikant,nm7385095
Sahir,nm16291409
Naseem,nm4836739
Hafiz Khan,nm8669105
